Gene,M-6
ENSMUSG00000044689,0
ENSMUSG00000025959,549
ENSMUSG00000086836,2
ENSMUSG00000101895,0
ENSMUSG00000025958,1899
ENSMUSG00000025956,582
ENSMUSG00000101832,1
ENSMUSG00000100437,0
ENSMUSG00000087213,27
ENSMUSG00000070871,783
ENSMUSG00000045005,174
ENSMUSG00000051344,369
ENSMUSG00000025955,0
ENSMUSG00000070870,0
ENSMUSG00000067299,0
ENSMUSG00000025952,0
ENSMUSG00000073658,0
ENSMUSG00000044429,0
ENSMUSG00000044816,0
ENSMUSG00000025950,2402
ENSMUSG00000025949,2431
ENSMUSG00000025946,0
ENSMUSG00000025945,0
ENSMUSG00000015222,258
ENSMUSG00000073656,0
ENSMUSG00000055567,2
ENSMUSG00000026005,1282
ENSMUSG00000026004,254
ENSMUSG00000026003,2485
ENSMUSG00000061816,0
ENSMUSG00000026000,912
ENSMUSG00000025991,1
ENSMUSG00000086204,0
ENSMUSG00000085075,0
ENSMUSG00000087329,0
ENSMUSG00000062209,1
ENSMUSG00000087514,0
ENSMUSG00000099804,0
ENSMUSG00000100354,0
ENSMUSG00000101156,0
ENSMUSG00000025997,71
ENSMUSG00000100815,0
ENSMUSG00000099954,0
ENSMUSG00000053153,1
ENSMUSG00000045648,0
ENSMUSG00000026196,800
ENSMUSG00000050296,611
ENSMUSG00000026192,5192
ENSMUSG00000026193,1732
ENSMUSG00000073652,3
ENSMUSG00000099707,0
ENSMUSG00000101211,0
ENSMUSG00000101848,1
ENSMUSG00000101764,0
ENSMUSG00000102123,0
ENSMUSG00000039395,928
ENSMUSG00000026189,148
ENSMUSG00000026188,0
ENSMUSG00000026187,2049
ENSMUSG00000039372,0
ENSMUSG00000039354,588
ENSMUSG00000110712,0
ENSMUSG00000039342,2
ENSMUSG00000046330,2700
ENSMUSG00000039323,0
ENSMUSG00000026185,0
ENSMUSG00000101968,0
ENSMUSG00000026182,0
ENSMUSG00000101112,0
ENSMUSG00000099877,0
ENSMUSG00000101812,0
